iata_code,day,source,risk_score,risk_level
SZZ,2026-02-01,forecast,0.2917,LOW
WRO,2026-02-01,forecast,0.25,LOW
IEG,2026-02-01,forecast,0.2083,LOW
RZE,2026-02-01,forecast,0.0,LOW
GDN,2026-01-31,forecast,1.6667,MEDIUM
SZZ,2026-01-31,forecast,1.1667,MEDIUM
BZG,2026-01-31,forecast,1.0,MEDIUM
POZ,2026-01-31,forecast,1.0,MEDIUM
WRO,2026-01-31,forecast,1.0,MEDIUM
IEG,2026-01-31,forecast,1.0,MEDIUM
RDO,2026-01-31,forecast,0.4167,LOW
RZE,2026-01-31,forecast,0.25,LOW
KTW,2026-01-31,forecast,0.2083,LOW
WAW,2026-01-31,forecast,0.1667,LOW
LUZ,2026-01-31,forecast,0.125,LOW
LCJ,2026-01-31,forecast,0.0833,LOW
KRK,2026-01-31,forecast,0.0417,LOW
WMI,2026-01-31,forecast,0.0,LOW
SZY,2026-01-31,forecast,0.0,LOW
GDN,2026-01-30,forecast,1.4584,MEDIUM
SZZ,2026-01-30,forecast,1.2083,MEDIUM
IEG,2026-01-30,forecast,1.0417,MEDIUM
BZG,2026-01-30,forecast,1.0416,MEDIUM
POZ,2026-01-30,forecast,1.0,MEDIUM
WRO,2026-01-30,forecast,1.0,MEDIUM
SZY,2026-01-30,forecast,0.1667,LOW
RDO,2026-01-30,forecast,0.0833,LOW
WMI,2026-01-30,forecast,0.0417,LOW
KRK,2026-01-30,forecast,0.0417,LOW
LUZ,2026-01-30,forecast,0.0,LOW
LCJ,2026-01-30,forecast,0.0,LOW
KTW,2026-01-30,forecast,0.0,LOW
WAW,2026-01-30,forecast,0.0,LOW
RZE,2026-01-30,forecast,0.0,LOW
WMI,2026-01-29,forecast,1.0,MEDIUM
SZY,2026-01-29,forecast,1.0,MEDIUM
WAW,2026-01-29,forecast,0.9583,LOW
LUZ,2026-01-29,forecast,0.875,LOW
RDO,2026-01-29,forecast,0.7083,LOW
LCJ,2026-01-29,forecast,0.625,LOW
SZZ,2026-01-29,forecast,0.4167,LOW
BZG,2026-01-29,forecast,0.4167,LOW
IEG,2026-01-29,forecast,0.375,LOW
POZ,2026-01-29,forecast,0.3333,LOW
RZE,2026-01-29,forecast,0.25,LOW
WRO,2026-01-29,forecast,0.2083,LOW
KTW,2026-01-29,forecast,0.125,LOW
GDN,2026-01-29,forecast,0.125,LOW
KRK,2026-01-29,forecast,0.0,LOW
IEG,2026-01-28,forecast,0.75,LOW
KRK,2026-01-28,forecast,0.5833,LOW
POZ,2026-01-28,forecast,0.4583,LOW
SZZ,2026-01-28,forecast,0.4167,LOW
LCJ,2026-01-28,forecast,0.375,LOW
RDO,2026-01-28,forecast,0.25,LOW
WMI,2026-01-28,forecast,0.2083,LOW
KTW,2026-01-28,forecast,0.1667,LOW
WRO,2026-01-28,forecast,0.1667,LOW
WAW,2026-01-28,forecast,0.125,LOW
SZY,2026-01-28,forecast,0.0833,LOW
GDN,2026-01-28,forecast,0.0833,LOW
LUZ,2026-01-28,forecast,0.0833,LOW
BZG,2026-01-28,forecast,0.0417,LOW
RZE,2026-01-28,forecast,0.0,LOW
